timeStamp,elapsed,label,responseCode,dataType,success,bytes,Latency,Connect
1649157774635,29,[PET] GET PET BY ID,500,text,false,3276,29,1
1649157774645,35,[PET] GET PET BY ID,200,text,true,240,35,1
1649157774615,65,[PET] GET PET BY ID,200,text,true,241,65,1
1649157774625,56,[PET] GET PET BY ID,200,text,true,240,56,0
1649157774665,16,[PET] GET PET BY ID,200,text,true,240,16,0
1649157774656,25,[PET] GET PET BY ID,200,text,true,241,25,0
1649157774675,7,[PET] GET PET BY ID,200,text,true,240,7,1
1649157774686,4,[PET] GET PET BY ID,200,text,true,240,4,0
1649157774682,20,[PET] UPDATE PET BY ID,500,text,false,3889,20,0
1649157774696,10,[PET] GET PET BY ID,200,text,true,240,10,0
1649157774681,26,[PET] UPDATE PET BY ID,500,text,false,3962,26,0
1649157774683,26,[PET] UPDATE PET BY ID,500,text,false,3962,26,0
1649157774706,4,[PET] GET PET BY ID,200,text,true,240,4,1
1649157774681,29,[PET] UPDATE PET BY ID,500,text,false,3962,29,0
1649157774690,21,[PET] UPDATE PET BY ID,500,text,false,3962,21,0
1649157774707,9,[PET] GET PET BY ID AFTER UPDATE,500,text,false,3276,9,0
1649157774682,34,[PET] UPDATE PET BY ID,500,text,false,3962,34,0
1649157774681,35,[PET] UPDATE PET BY ID,500,text,false,3962,35,0
1649157774710,6,[PET] GET PET BY ID AFTER UPDATE,500,text,false,3203,6,0
1649157774702,19,[PET] GET PET BY ID AFTER UPDATE,500,text,false,3276,19,0
1649157774666,57,[PET] UPDATE PET BY ID,500,text,false,3962,57,0
1649157774710,13,[PET] GET PET BY ID AFTER UPDATE,500,text,false,3203,13,0
1649157774715,19,[PET] GET PET BY ID,200,text,true,240,19,1
1649157774716,18,[PET] UPDATE PET BY ID,500,text,false,3889,18,0
1649157774711,24,[PET] GET PET BY ID AFTER UPDATE,500,text,false,3276,24,0
1649157774723,12,[PET] GET PET BY ID AFTER UPDATE,500,text,false,3276,12,0
1649157774716,19,[PET] GET PET BY ID AFTER UPDATE,500,text,false,3276,19,0
1649157774725,15,[PET] GET PET BY ID,200,text,true,240,15,1
